,release_angle,firing_angle,cup_elevation,bungee_position,pin_elevation,distance
0,183,100,211,168,120,185
1,173,124,240,110,100,125
2,128,104,243,117,163,96
3,148,131,273,135,138,82
4,123,90,265,194,118,105
5,148,116,254,153,106,136
6,120,119,200,111,188,
7,101,99,224,125,177,
8,178,137,230,131,141,145
9,118,91,288,179,136,107
10,150,94,229,128,195,149
11,169,114,233,189,192,341
12,125,94,284,103,176,111
13,160,121,228,145,134,163
14,109,97,271,196,199,87
15,161,120,203,141,189,191
16,175,117,219,120,159,211
17,153,109,247,161,198,264
18,116,114,252,133,138,
19,122,115,278,197,181,44
20,163,118,282,108,171,247
21,111,111,222,139,103,
22,137,100,235,173,166,155
23,130,98,252,101,158,102
24,178,123,262,108,110,177
25,129,107,266,121,161,110
26,167,137,283,106,174,162
27,172,93,298,137,195,247
28,157,102,209,150,145,160
29,145,90,212,186,152,121
30,166,126,293,190,194,418
31,140,101,226,114,123,101
32,184,120,287,170,143,401
33,119,92,257,161,107,87
34,175,127,211,113,165,179
35,163,128,217,193,187,227
36,137,95,290,119,124,133
37,180,103,247,198,134,283
38,170,136,294,100,153,154
39,142,133,259,184,149,56
40,165,110,297,181,142,341
41,146,125,264,154,191,167
42,134,126,207,116,122,15
43,139,107,295,145,154,189
44,151,108,250,164,169,234
45,155,103,267,143,114,181
46,154,99,235,183,127,176
47,125,96,205,127,146,75
48,158,129,202,155,116,95
49,143,107,280,182,126,195
50,182,105,286,165,170,387
51,126,118,268,192,156,58
